"","WT_Azole_1","WT_Azole_2","WT_Azole_3","WT_GMM_1","WT_GMM_2","WT_GMM_3"
"AFUB_000010-T",6.8409201126165,9.08394482901006,6.25159787502387,1.72085408190248,2.98016728832964,3.16927205324731
"AFUB_000020-T",20.4937733882198,18.5807962411569,20.0619459080311,6.88341632760994,6.87730912691456,6.44877965617279
"AFUB_000030-T",4.05817294816233,2.28474976002374,2.7279699818286,1.40797152155658,0.601764548605024,1.21259104645984
"AFUB_000040-T",80.6416938699114,94.555607538332,83.3735825696365,30.2713877134664,19.3424319194472,27.1179452208292
"AFUB_000050-T",44.8717980268235,37.409336432196,39.8965609842432,3.12882560345906,1.86260455520603,2.20471099356335
"AFUB_000060-T",30.1754145645499,18.6083233466994,26.4556255529419,1.72085408190248,1.43277273477387,0.771648847747172
"AFUB_000070-T",0.521765093335157,0.302798160967002,0.284163539773812,0.860427040951242,0.0573109093909547,0.110235549678167
"AFUB_000080-T",1.73921697778386,1.21119264386801,1.87547936250716,2.81594304311316,0.916974550255275,0.881884397425339
"AFUB_000090-T",0.144934748148655,0,0.113665415909525,0.782206400864766,0,0
"AFUB_000100-T",2.0580734237109,1.67915343808974,2.95530081364765,2.73772240302668,2.86554546954773,2.83856540421281
"AFUB_000110-T",128.904965003413,139.342208255906,104.06068826517,54.2851242200147,154.710799900882,151.766793019417
"AFUB_000120-T",4.23209464594072,7.21210165212314,3.92145684887861,5.55366544613984,5.73109093909547,8.76372619941431
"AFUB_000130-T",0.463791194075695,0.357852372051912,0.170498123864287,1.25153024138363,0.286554546954773,0.0551177748390837
"AFUB_000140-T",3.71032955260556,2.3122768655662,2.61430456591907,2.81594304311316,3.49596547284824,2.42518209291968
"AFUB_000150-T",1.76820392741359,0.798286060731187,1.25031957500477,1.40797152155658,1.66201637233769,1.48817992065526
"AFUB_000160-T",1.2174518844487,1.92689738797183,0.966156035230961,0.156441280172953,1.20352909721005,1.73620990743114
"AFUB_000170-T",0.31885644592704,0.46796079422173,0.0568327079547624,0.0782206400864766,0.42983182043216,0.661413298069004
"AFUB_000180-T",0.260882546667578,0.550542110849095,0,0.782206400864766,0.573109093909547,0.551177748390837
"AFUB_000190-T",6.66699841483811,5.80821926945795,3.09738258353455,3.71548040410764,5.07201548109949,5.98027857004058
"AFUB_000200-T",1.33339968296762,1.23871974941046,0.568327079547624,0.743096080821527,1.91991546459698,1.76376879485068
"AFUB_000210-T",0.666699841483812,0.302798160967002,0.170498123864287,0.0782206400864766,0.200588182868341,0.220471099356335
"AFUB_000220-T",0.115947798518924,0.275271055424547,0.397828955683337,0.0782206400864766,0.229243637563819,0.165353324517251
"AFUB_000230-T",18.4936738637683,7.56995402417505,10.3719692017441,1.3297508814701,2.72226819607035,1.37794437097709
"AFUB_000240-T",22.1750164667442,21.8289946951666,29.3825100126122,27.8074375507424,20.6032719260482,20.2282233659437
"AFUB_000250-T",0.898595438521659,0.660650533018914,0.539910725570243,2.22928824246458,0.42983182043216,0.74408996032763
"AFUB_000260-T",4.55095109186776,5.28520426415131,6.70625953866197,20.5720283427433,17.3365500907638,11.4093793916903
"AFUB_000270-T",26.7259675586119,43.0523930683992,32.6219743660336,2.19017792242134,16.2762982670311,13.531413722995
"AFUB_000280-T",12.8122317363411,11.3136403779489,8.95115150287508,20.9631315431757,23.5834392143779,25.4092942008176
"AFUB_000290-T",83.5693757825143,73.9378054870334,45.2104191780135,51.7820637372475,147.346348044144,123.133108990513
