"","Comp_Azole_1","Comp_Azole_2","Comp_Azole_3","Comp_GMM_1","Comp_GMM_2","Comp_GMM_3"
"AFUB_000010-T",9.92466750330768,9.89031111355626,5.85245300546965,4.16963732297181,5.96319735721171,14.9791679713301
"AFUB_000020-T",46.8457855190257,35.6333780405555,33.358982131177,12.9060202853889,8.90573579111967,7.16611358096854
"AFUB_000030-T",14.2264858409189,7.54489447805577,7.66671343716524,2.38264989884103,0.989526199013296,1.56758734583687
"AFUB_000040-T",59.5480050198461,98.8183370403035,83.5437666530793,26.0105947290146,22.8111829035697,23.264986799325
"AFUB_000050-T",103.074277175991,124.561403967303,140.488134396299,3.54088248855542,3.38522120715075,3.83188017871234
"AFUB_000060-T",130.612689053769,72.736173732268,76.9890192869533,2.97831237355129,1.92697207176273,2.48823388228074
"AFUB_000070-T",1.21941307207876,0.678192762072429,0.790081155738403,0.231646517942878,0.23436146818736,0.199058710582459
"AFUB_000080-T",2.5743164854996,0.847740952590537,1.22901513114863,2.15100338089815,1.3540884828603,0.572293792924571
"AFUB_000090-T",0,0.169548190518107,0.117049060109393,0.0661847194122509,0.104160652527715,0.124411694114037
"AFUB_000100-T",4.30181833761118,2.51496482601859,2.31171893716051,1.48915618677564,4.0622654485809,1.99058710582459
"AFUB_000110-T",54.8058430728731,99.2422075165988,75.0869720601756,67.8724297572633,118.795224207859,121.326284100009
"AFUB_000120-T",3.18402302153898,4.88863949327209,3.56999633333649,1.72080270471852,2.49985566066517,6.44452575510713
"AFUB_000130-T",0.203235512013127,0.197806222271125,0.292622650273483,0.562570115004132,0.286441794451217,0.472764437633341
"AFUB_000140-T",5.28412331234129,4.43651098522381,3.16032462295361,3.67325192737992,3.95810479605319,1.99058710582459
"AFUB_000150-T",2.50657131482856,1.92154615920522,1.46311325136741,2.87903529443291,1.40616880912416,1.41829331290002
"AFUB_000160-T",0.643579121374901,0.678192762072429,0.409671710382876,0.661847194122509,0.755164730825937,0.597176131747378
"AFUB_000170-T",0,0.0565160635060358,0.234098120218786,0.0661847194122509,0.364562283847004,0.273705727050882
"AFUB_000180-T",0.440343609361774,0.734708825578465,0.117049060109393,0.330923597061254,0.807245057089794,0.87088185879826
"AFUB_000190-T",0.643579121374901,2.11935238147634,3.16032462295361,2.51501933766553,1.3540884828603,2.88635130344566
"AFUB_000200-T",0.643579121374901,0.39561244454225,1.05344154098454,0.661847194122509,0.91140570961751,1.56758734583687
"AFUB_000210-T",0.60970653603938,0.649934730319411,0.438933975410224,0.132369438824502,0.23436146818736,0.646940809392993
"AFUB_000220-T",0.474216194697295,0.565160635060358,0.438933975410224,0.297831237355129,0.312481957583146,0.0995293552912297
"AFUB_000230-T",18.7654122758787,21.8152005133298,26.892021560133,4.79839215738819,8.90573579111967,5.52387921866325
