"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AFUB_071550-T",2857.34148086472,5.30267704472172,0.182370781243689,4.6311193432263e-187,4.62741444775172e-183
"AFUB_071560-T",11086.4244002936,5.70726664942662,0.202732102666084,7.98582488822165e-176,3.98971811415554e-172
"AFUB_049200-T",8971.53084890393,-3.90936522186171,0.144067147190814,2.19061456612391e-163,7.29620691490336e-160
"AFUB_071569-T",5556.61886283537,4.73069756681952,0.177893629167158,4.84268669586768e-157,1.20970313662775e-153
"AFUB_071540-T",2932.76842406861,4.51716132604303,0.17454493593947,7.62573433030236e-149,1.52392674856762e-145
"AFUB_000050-T",1777.01842902759,-4.76040154121692,0.188312684729157,4.10920111619796e-142,6.84318959217501e-139
"AFUB_090430-T",5501.216277623,-2.88055582999516,0.119023852105961,1.34751997027245e-130,1.92348850613748e-127
"AFUB_017380-T",15400.3199156364,-3.67980220223224,0.152607745154069,9.01433456021831e-130,1.12589038657127e-126
"AFUB_049700-T",1631.39758795693,-5.11493677710161,0.214298129971904,3.89094111679023e-127,4.31980929321866e-124
"AFUB_003560-T",10348.1087317392,-3.27242470038007,0.139250221473868,2.33387150678987e-123,2.33200440958444e-120
"AFUB_070460-T",5080.50713731512,-3.12046394534445,0.145478462741551,2.71689647181457e-103,2.46792995876101e-100
"AFUB_033620-T",707.587601105089,-5.00407531464589,0.233220704707095,4.16461115962619e-103,3.46773289224874e-100
"AFUB_003610-T",2152.73839568745,-3.88766925290168,0.184891010130784,2.16890474696378e-99,1.6670535562817e-96
"AFUB_000060-T",1071.08637344191,-4.88103791548727,0.245011024852342,1.80260794831783e-89,1.28654704425655e-86
"AFUB_049210-T",610.726762143975,-4.71676069694433,0.247050997280092,2.49666548144915e-82,1.66311209937599e-79
"AFUB_047590-T",3939.61715114684,-2.78521642667737,0.147071438389329,2.23097226558687e-81,1.393242179859e-78
"AFUB_000340-T",5704.89821734954,-3.33088806127262,0.175881885160109,3.20933895798316e-81,1.88633616871575e-78
"AFUB_071530-T",580.453525964874,4.55778462862312,0.242551546719715,6.05097734834931e-80,3.35896475915035e-77
"AFUB_046450-T",1258.78369666256,-3.7674783863977,0.204967123750549,9.08004703368673e-77,4.77514894529462e-74
"AFUB_041670-T",2178.80999344738,3.18612603480868,0.173469516237586,1.51419474827401e-76,7.56491696237694e-74
"AFUB_092090-T",93448.0818455216,4.00557100729492,0.21851879994857,1.08834206289615e-75,5.17843518688491e-73
