"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AFUB_051170-T",4590.74545201958,-4.75892274095844,0.283129219719064,1.06351445408842e-64,1.06617324022364e-60
"AFUB_051210-T",2756.54312563559,-3.84030408173176,0.242285309348403,7.88381834465034e-58,3.95176394525598e-54
"AFUB_030040-T",4369.20591569316,4.70735098623223,0.307395076386107,3.47871883562597e-54,1.16247187757168e-50
"AFUB_080420-T",284.456768850506,-2.64092282697378,0.202978800202695,7.63815782994204e-40,1.91431330612922e-36
"AFUB_057820-T",543.571430369626,-3.46742958869625,0.271314139946405,1.2088092040273e-38,2.42366245407474e-35
"AFUB_095060-T",957.136158882656,-3.43090693672459,0.279539869567569,6.49430409654634e-36,1.08508997613129e-32
"AFUB_051160-T",1246.52471315912,-3.22250122591995,0.269162454353494,2.72901024542446e-34,3.90833253005432e-31
"AFUB_085960-T",1289.16000927822,2.47471544098152,0.210695958700855,4.77773803825358e-33,5.98710297918652e-30
"AFUB_001000-T",5089.50569732453,-2.27442505894611,0.207721097968522,4.02372752086143e-29,4.48198537740398e-26
"AFUB_063290-T",3445.7728503768,-2.01181916492245,0.194920582306891,3.47756856347125e-26,3.48626248487992e-23
"AFUB_084810-T",453.981678563804,2.69883068117872,0.268870833148193,6.23099860180394e-25,5.67870554391677e-22
"AFUB_032950-T",233.611260625259,-2.32651374857322,0.238117806800381,9.01693445559823e-24,7.53289732644769e-21
"AFUB_079160-T",4075.78259943338,3.20979728261527,0.332022240083345,1.82866393516972e-23,1.41018122692896e-20
"AFUB_003600-T",551.791484468315,-3.19245177839487,0.332551270515469,4.18338282062997e-23,2.99560091262968e-20
"AFUB_000050-T",4140.42841388671,-1.52018202663242,0.158539733061696,1.31601448335927e-22,8.79536346378444e-20
"AFUB_085100-T",678.84860474172,-2.96876147554167,0.314155777750648,1.79297169398904e-22,1.12340882701501e-19
"AFUB_001120-T",459.352209532812,2.49734060193818,0.265084839769151,2.55724174351919e-22,1.44770076803194e-19
"AFUB_101390-T",8315.38839453437,2.26007394084222,0.238574949734337,2.59936297501995e-22,1.44770076803194e-19
"AFUB_017290-T",3167.9651971494,2.27099727429869,0.243941317561679,8.20785215687129e-22,4.33072199329656e-19
"AFUB_085640-T",8955.45603524735,-1.5528665247186,0.170615997045284,7.67128693772963e-21,3.84523257753698e-18
"AFUB_071980-T",350.580373870121,-2.72206823902479,0.304271686723693,2.02693745320065e-20,9.67621331825551e-18
"AFUB_078960-T",371.837684060999,-2.99450698087065,0.338588103912271,5.07761896880276e-20,2.31377864373853e-17
"AFUB_033700-T",820.877465824244,-1.88165465691532,0.214260896040256,1.05275019927326e-19,4.58861771639757e-17
"AFUB_079770-T",1123.9452715274,-2.19705054766701,0.254157673198659,3.30509845378899e-19,1.38056716663478e-16
"AFUB_071230-T",1811.73569841048,-2.63536842785539,0.306996460673145,4.63728835367359e-19,1.85955262982311e-16
"AFUB_080430-T",474.147818366699,-1.97662405830186,0.232880376454541,1.34413997507751e-18,5.18269355775079e-16
"AFUB_091800-T",545.408315254358,-2.33208650282717,0.276079268604006,1.76569107642553e-18,6.5559455708022e-16
"AFUB_036980-T",3338.99557902902,1.6569897662236,0.20063938706237,1.10341447904394e-17,3.95061791157698e-15
"AFUB_101630-T",1368.12583427312,-2.38434846236403,0.294441103349399,3.08575692219259e-17,1.06671424637864e-14
"AFUB_051200-T",2403.90930370568,-3.53133789673557,0.442540520919006,7.24585551726479e-17,2.42132338535265e-14
"AFUB_009560-T",5202.21356365294,-1.90058417703073,0.243536951354904,3.663598969711e-16,1.18476063455977e-13
"AFUB_047110-T",963.54427799635,-1.53331733993654,0.196511804350522,4.59308853969437e-16,1.43161851756856e-13
"AFUB_081840-T",1181.98532207987,-1.65583078956463,0.212543828485399,4.71255970870448e-16,1.43161851756856e-13
"AFUB_099620-T",459.070261812984,-1.62182794284946,0.212488138410589,1.61246299969007e-15,4.72921588977358e-13
"AFUB_082079-T",757.652607422609,3.56218962041417,0.469184590884573,1.65109781687856e-15,4.72921588977358e-13
"AFUB_096100-T",10816.2986672811,1.44984443256591,0.192650389012909,4.73443103345641e-15,1.31840753084446e-12
"AFUB_091790-T",2622.46376662499,1.57202960936656,0.211868654369108,8.98609192173866e-15,2.4347451760927e-12
"AFUB_068720-T",1448.8102124551,1.98046644406683,0.269089039343019,1.0399752402584e-14,2.74361889041855e-12
"AFUB_085950-T",11404.7807491501,1.59996606555204,0.217082592734447,1.31494462786091e-14,3.38008202418093e-12
"AFUB_102210-T",311.902297084415,-2.59161871462689,0.355353176191975,1.60446563634169e-14,4.02119200108137e-12
"AFUB_056650-T",194.541973392038,-1.39747433038319,0.194476661178982,5.64084065030859e-14,1.37925432974009e-11
"AFUB_077850-T",100158.808255918,-1.11192007236805,0.15715515418911,1.47418427574756e-13,3.51873746770697e-11
"AFUB_070300-T",7367.1170009787,2.4728126210441,0.354255702762087,1.69747008755258e-13,3.95747386691037e-11
"AFUB_085890-T",2043.33801219027,1.11405995980051,0.157606123480325,1.90543866426258e-13,4.34136877482554e-11
"AFUB_040420-T",829.112866307763,-1.12234197767238,0.161584732363695,4.01673102636789e-13,8.84485755957778e-11
"AFUB_056430-T",10060.0664255014,1.91783793932186,0.280091409299646,4.85370369822953e-13,1.03528467180321e-10
"AFUB_092260-T",12607.5405473606,-1.73258094576374,0.254535153214558,6.65418418444109e-13,1.38975409268796e-10
"AFUB_078190-T",584.709147076692,1.88844412577026,0.277784368250318,6.92954782137288e-13,1.41772891651557e-10
"AFUB_049330-T",514.159403758437,-1.09203984252475,0.16049653881327,8.76503382521376e-13,1.75738928195536e-10
"AFUB_021270-T",700.703278892159,1.4461069746611,0.214711719259056,1.36806923225376e-12,2.68919491242037e-10
"AFUB_013160-T",6650.10530549457,-1.5247142214119,0.227634951772565,1.54843141743668e-12,2.91129050556756e-10
"AFUB_090710-T",1348.45577763885,1.4970356660994,0.223225111164635,1.56379562438414e-12,2.91129050556756e-10
"AFUB_033760-T",607.186377296687,1.99094423265686,0.298007692665154,1.56817643192667e-12,2.91129050556756e-10
"AFUB_000410-T",5337.21100517879,1.25405444531626,0.187250884151908,2.06716765729307e-12,3.73319237749308e-10
"AFUB_091770-T",5031.15429411124,2.34326356821667,0.35394474358501,2.08537429565698e-12,3.73319237749308e-10
"AFUB_079180-T",517.103565628432,1.66656627860734,0.253316388649332,3.30937239751758e-12,5.82043127809012e-10
"AFUB_081420-T",508.260965484579,-1.66147218574634,0.253622677912024,3.92938277050206e-12,6.79173487487641e-10
"AFUB_062540-T",3371.28658138422,1.50721472365693,0.229147889809887,4.54576242584527e-12,7.68935161028978e-10
"AFUB_047540-T",124.252059869122,12.1439798013611,3.19817804771622,4.60210570191907e-12,7.68935161028978e-10
"AFUB_001220-T",6015.65104259186,1.63934313807824,0.252522256997198,4.79008692347429e-12,7.87223301767701e-10
"AFUB_096730-T",246.994413230054,-1.88229515440359,0.289872162675396,5.33098601991594e-12,8.61986045962214e-10
"AFUB_015140-T",3845.48583222797,-1.25866718372076,0.193031277503518,5.58091081153657e-12,8.88073506121494e-10
"AFUB_022660-T",2574.31552073679,-1.54875940642935,0.238686665694535,6.30422429889075e-12,9.87497634318434e-10
"AFUB_083440-T",8050.11066896612,1.12055604083121,0.171500165964087,7.11109681361375e-12,1.09674993163812e-09
"AFUB_030160-T",1007.03811195455,1.22565589258029,0.188423280241148,7.79844426559183e-12,1.18453642064482e-09
"AFUB_080270-T",212.80811222941,3.24178680078594,0.506060249643647,8.09756104875069e-12,1.21161267930934e-09
"AFUB_000340-T",6344.54719734315,-1.37522436149771,0.212097946602837,8.4202023452472e-12,1.24136071339858e-09
"AFUB_004500-T",23596.8537310624,-2.52926183430217,0.397362929809822,1.0125628067858e-11,1.47115103449676e-09
"AFUB_000060-T",2755.95492883224,-1.77625858559453,0.278292784031836,1.12822935231531e-11,1.61578560813729e-09
"AFUB_030020-T",1374.9344782544,1.45657566853675,0.229000579799106,1.61810649686168e-11,2.28472079310399e-09
"AFUB_087010-T",898.283348978887,-1.84693256872306,0.291859207824898,1.66191261988408e-11,2.31398250199137e-09
"AFUB_076330-T",2130.6528367558,-1.24923937841559,0.196049514654067,1.7071825017977e-11,2.34445268226328e-09
"AFUB_017600-T",305.542501447745,-2.24358567064052,0.356811256022566,1.81753924274228e-11,2.46227444709342e-09
"AFUB_087130-T",1591.74661837257,-1.479663649744,0.235459089333983,2.48250175816088e-11,3.31827735007505e-09
"AFUB_066940-T",710.78824751936,1.7230244173639,0.27690405894757,3.24546746470386e-11,4.25008998955087e-09
"AFUB_066270-T",2868.8295614744,-1.13018231985708,0.179763273415501,3.28793461184271e-11,4.25008998955087e-09
"AFUB_072990-T",77.3741210080723,2.19165246164681,0.353780645881473,3.30680318388995e-11,4.25008998955087e-09
"AFUB_015360-T",4430.78590485935,1.18392549881803,0.18862090067997,3.60155633781978e-11,4.57032940337256e-09
"AFUB_030390-T",670.423767149264,2.01819971189502,0.327482534596151,4.41184264503166e-11,5.5285903145553e-09
"AFUB_098860-T",1172.07053587131,1.84379669584651,0.300197754079038,5.56578173183047e-11,6.88851381007413e-09
"AFUB_092200-T",4493.5358832224,1.00047688336966,0.161018476364102,6.55385324711178e-11,8.01248521979215e-09
"AFUB_085860-T",2065.14182167107,-1.62229177585609,0.265503464563017,6.93849974753532e-11,8.3773157816852e-09
"AFUB_002340-T",4746.46989790669,1.10331379183663,0.178468088648447,7.08513401886579e-11,8.3773157816852e-09
"AFUB_081100-T",259.654400361856,-1.96242287073349,0.322665866453481,7.10296101190266e-11,8.3773157816852e-09
"AFUB_081080-T",753.389456722842,-1.60761471195012,0.264004030250657,7.60448502306032e-11,8.86453050653252e-09
"AFUB_039670-T",274.333891311682,2.1559432561543,0.356992413129309,9.23287423007993e-11,1.0639030362822e-08
"AFUB_085680-T",1985.0119440587,-1.22722620076712,0.202481839650888,1.24045442458515e-10,1.4131313189166e-08
"AFUB_090700-T",747.852776952422,1.27897430303282,0.211449593452974,1.34437435820899e-10,1.51430931921855e-08
"AFUB_073820-T",8009.63102127414,-1.72605733709765,0.29114979978421,1.86936774070818e-10,2.08226795562217e-08
"AFUB_074720-T",2097.75092641153,1.91714542723863,0.324013923688532,2.06754213342818e-10,2.27770438325467e-08
"AFUB_017930-T",895.024370990518,-1.16795487814444,0.195304486187214,2.18764559316708e-10,2.38382033385869e-08
"AFUB_091710-T",5448.8669477939,-1.43978527012951,0.2430229363794,2.41348199158096e-10,2.60162978124722e-08
"AFUB_091740-T",3484.03424774693,-1.64233553431211,0.278592496350136,2.58440361859024e-10,2.75558523693752e-08
"AFUB_017950-T",1770.45410798195,-1.21483908372545,0.204478480772934,2.61127778063904e-10,2.75558523693752e-08
"AFUB_091780-T",649.864611962401,1.49834702715238,0.253632768452197,2.66941468463894e-10,2.78759189724015e-08
"AFUB_049010-T",205.029205987923,-1.81328393601431,0.308217168310275,2.83224844763806e-10,2.92714336985274e-08
"AFUB_012320-T",14938.9293707222,1.0475174850063,0.174971420852174,2.9751727807265e-10,3.0434803190595e-08
"AFUB_068710-T",2607.70851146915,2.1613626161354,0.370891040124896,3.17975294377928e-10,3.21990133953407e-08
"AFUB_047180-T",3307.36611956731,1.5077545132344,0.256937226047159,3.30596466679477e-10,3.31422957846176e-08
"AFUB_032980-T",936.75345292397,-1.10740656628263,0.187054565947708,3.39590896640085e-10,3.37069182061075e-08
"AFUB_093120-T",7968.45887243435,1.75604812286365,0.30097756261212,3.87751265972792e-10,3.81098670723258e-08
"AFUB_053180-T",1844.69488830053,-1.59999506447319,0.27576825186143,4.35704837357191e-10,4.19941879070207e-08
"AFUB_100910-T",59.6989008801315,2.92630712569283,0.508696752370343,4.39119521338969e-10,4.19941879070207e-08
"AFUB_100460-T",77.4379229118908,2.61971396748584,0.452824350972594,4.39839374587249e-10,4.19941879070207e-08
"AFUB_087020-T",1237.36051893247,-1.56221744092344,0.269063186069297,4.51075649466369e-10,4.26606923198146e-08
"AFUB_058020-T",413.699344768954,-1.42107742414888,0.245847905924827,5.8027176464375e-10,5.43665835565756e-08
"AFUB_057560-T",8652.08407098484,1.28677773849657,0.222906346458186,6.42768770828753e-10,5.94277613027952e-08
"AFUB_080410-T",248.087959318487,-2.23324650033295,0.391529760788623,6.46147230125154e-10,5.94277613027952e-08
