"","Del_Azole_1","Del_Azole_2","Del_Azole_3","Del_GMM_1","Del_GMM_2","Del_GMM_3"
"AFUB_000010-T",16.2916054877315,17.8242591784377,13.8338769949016,10.8889117660308,9.80979225806096,7.01575503165435
"AFUB_000020-T",43.5828153608872,42.9594856809126,46.3749285624543,7.88507403747055,7.68203450067872,10.9420032603783
"AFUB_000030-T",6.45568720857388,4.74306557799105,4.9518991515841,0.844829361157559,0.967162616991926,1.22292977615993
"AFUB_000040-T",127.1742673277,134.376787840154,126.417531250758,23.0607125619675,34.0717573357441,21.594365257982
"AFUB_000050-T",202.841571047079,211.625314482976,211.281030467588,2.25287829642016,2.04485810449721,3.76533641607137
"AFUB_000060-T",134.599692958163,116.61294987927,152.696657436149,1.43933891160177,1.82379236347049,4.63426020439554
"AFUB_000070-T",1.02515204599671,0.876107654533378,2.12224249353604,0.375479716070026,0.110532870513363,0.386188350366295
"AFUB_000080-T",1.16368610626654,1.17821374230351,0.864617312181351,0.938699290175066,1.3540276637887,1.4482063138736
"AFUB_000090-T",0,0.0604212175540261,0,0.0625799526783377,0.0552664352566815,0
"AFUB_000100-T",2.24425177637118,2.41684870216104,3.24886505183295,2.3154582490985,2.90148785097578,4.66644256692606
"AFUB_000110-T",117.587710357028,123.168651983882,132.993862928259,125.910864788816,120.370295989052,118.012723399434
"AFUB_000120-T",4.71015804917408,5.83064749396352,2.72485455960183,7.44701436872219,6.52143936028841,3.08950680293036
"AFUB_000130-T",0.193947684377756,0.271895478993117,0.104802098446224,0.56321957410504,0.497397917310133,0.257458900244196
"AFUB_000140-T",1.93947684377756,2.7793760074852,3.24886505183295,2.94125777588187,2.04485810449721,3.31478334064403
"AFUB_000150-T",1.1913929183205,1.75221530906676,1.38862780441247,1.93997853302847,1.68562627532878,1.93094175183147
"AFUB_000160-T",0.609549865187234,0.725054610648313,0.366807344561785,0.438059668748364,0.442131482053452,0.450553075427344
"AFUB_000170-T",0.443308992863443,0.0906318263310391,0.209604196892449,0,0.221065741026726,0.128729450122098
"AFUB_000180-T",0.277068120539652,0.30210608777013,0.628812590677346,0.719669455800884,0.580297570195155,0.611464888079967
"AFUB_000190-T",2.77068120539652,3.41379879180247,2.48904983809783,2.78480789418603,3.8686504679677,2.73550081509459
"AFUB_000200-T",1.13597929421257,1.32926678618857,0.707414164512014,0.876119337496728,0.994795834620266,1.22292977615993
