TRANSCRIPT	baseMean	log2FoldChange	lfcSE	pvalue	padj
AFUB_000010-T	169.10792111039586	-1.1718493067382776	0.4007796466480611	1.114361399095993e-4	0.003762539245046295
AFUB_000020-T	446.57201905418094	-1.4145619567209622	0.24993402912779936	1.0625897755493316e-9	1.6434150577004097e-7
AFUB_000030-T	69.1881955123283	-0.9482584360784859	0.5238885401384213	0.0019015964181335937	0.03561407822945904
AFUB_000040-T	1887.1366157986226	-1.5613532702415496	0.29799890958865477	5.505066697281812e-9	7.038411274698039e-7
AFUB_000050-T	728.1365208907155	-3.97892415715771	0.32512853058017493	5.469241936313348e-36	8.74076015455145e-33
AFUB_000060-T	445.55117502550337	-4.083366870222793	0.41237537032086813	9.204499748630012e-25	5.884129872640879e-22
AFUB_000070-T	12.025688958996959	-0.018691622500948326	0.37441637684481965	0.8913259923461916	0.9642308240303731
AFUB_000080-T	53.13370973761536	-0.017687105835765698	0.28040312291144437	0.8958029591113058	0.9664233647476499
AFUB_000090-T	5.857824820274536	0.08939996325685275	0.49585820645876283	0.4297691148562703	NA
AFUB_000100-T	85.17858957928682	0.11890166371992289	0.24091225357283244	0.3749688780864583	0.68412783968416635
AFUB_000110-T	4125.837764132105	-0.012919267592347744	0.24225203212270913	0.920386456099473	0.9766057018410806
AFUB_000120-T	199.31638622249625	0.13092125398341561	0.25650653206964197	0.34247385917049283	0.6577090661872929
AFUB_000130-T	14.550728488430419	0.09306796919838717	0.39681098688996363	0.5137729462901135	0.7784379278092548
AFUB_000140-T	97.78364317517043	0.005740252087122729	0.2179049170959124	0.9633802010427536	0.9923505920990348
AFUB_000150-T	47.13570417953253	0.0754036919334592	0.25621283401074463	0.5731849292657203	0.8158542633100837
AFUB_000160-T	40.560372271081356	-0.07599791035682835	0.3375957014491232	0.5949243769464605	0.8287568832691066
AFUB_000170-T	11.330135252954628	0.06854978688168405	0.38241025483953794	0.6252765499704833	0.8437625721456465
AFUB_000180-T	15.296874053884487	0.1987675410480177	0.45742098808499165	0.21517642964596082	0.5364864232644614
AFUB_000190-T	170.76045261343663	-0.022566703134967375	0.2327252058792269	0.8598226121073189	0.9529402482081692
AFUB_000200-T	42.5895558015787	0.1300419896502331	0.3142859601875129	0.3764921472789724	0.6850233320475196
AFUB_000210-T	9.226106222375096	-0.2204217196762552	0.4502432174991337	0.18683180316127818	0.5023920809067572
AFUB_000220-T	7.10197915556207	-0.11550125274167122	0.39015107882438455	0.4331777353544858	NA
AFUB_000230-T	235.62603071547684	-2.3333347925814643	0.5434294612886306	2.68760469754545e-8	2.8956675780632945e-6
AFUB_000240-T	799.3418351609289	-0.03843284816499006	0.19409617578796579	0.7512821440579999	0.904512028358939
AFUB_000250-T	30.968194697175363	0.15208286368660262	0.3619117546187663	0.32370947054818666	0.6402388860402568
AFUB_000260-T	370.67264849506233	1.2997237545355544	0.36570703659366677	1.5393624852765114e-5	7.062654005414577e-4
AFUB_000270-T	756.4145771030155	-0.7508094312183984	0.6189387420105349	0.008309805522290908	0.09254671910946285
AFUB_000280-T	579.8854776122973	0.891990801018779	0.31730537710730516	2.0398381404302497e-4	0.006301977179632926
AFUB_000290-T	2954.665958158108	0.2305259830880288	0.3318977277817973	0.1548870546529217	0.4565709847779553
AFUB_000300-T	8799.311945370846	0.29087483087644034	0.3345455792090556	0.08755069368422991	0.3474849344942387
AFUB_000310-T	2777.9640232172137	0.34019149203662463	0.3122199539439828	0.04667859273702658	0.2556459074269203
