TRANSCRIPT	Comp_GMM_1	Comp_GMM_2	Comp_GMM_3	Del_GMM_1	Del_GMM_2	Del_GMM_3	OE_GMM_1	OE_GMM_2	OE_GMM_3	WT_GMM_1	WT_GMM_2	WT_GMM_3
AFUB_009040-T	3067.7184729053242	2412.1889257763546	2111.7737972060672	1705.4625006596875	1576.3378992834985	1338.462323585994	2775.7483090203964	2924.7482948754227	3783.0446486307437	1222.5468008282971	1428.7882604588006	1926.2664637838513
AFUB_009050-T	5646.734509866282	3673.7611129625393	2960.803231015902	4294.0575411115915	3439.3633782227234	4310.513756393403	3216.2975738337996	4102.325206788727	3786.2660888651726	9734.086443120628	3668.6181136745495	3492.5452600262433
AFUB_009060-T	2474.6114256455694	2882.2206686476616	3110.338747733877	2817.8506659058658	3027.5273504819897	2312.1728804183513	3100.1614931313557	2760.8212886355086	3118.35414692696	1889.6380395876129	2872.522004813614	3408.9597329981475
AFUB_009070-T	1363.9240712265525	1962.2514767452706	1977.1918321598898	1693.5013375925244	2039.653430491824	1712.5666997435699	1595.1914555988585	1675.5830068193711	1721.3228985963901	1598.2961516396667	1967.8220463083203	2389.7862045760207
AFUB_009080-T	4442.749417676067	5928.690347815408	7151.951463472475	4050.847225412607	5996.474576328444	3137.2808656103384	4637.7648095389195	3279.577637495995	5903.82613629629	2562.174921112311	4143.884501567749	6733.384103433788
AFUB_009090-T	2242.477768571995	3006.2810914873003	3280.6430862182374	2419.145230333759	2958.2962940945386	1824.7980125908427	2711.4415535901176	2045.9750399057584	2680.23827504466	1537.0326705291175	2549.6995526597425	3367.1669694840994
AFUB_009100-T	2070.321228637047	1679.1840330829966	1762.8575915307924	2279.5983278835215	1926.931069450718	2621.8481695710116	2218.1031611846943	2229.614787402371	1770.7183155242965	5257.768089976485	2630.40516569821	1925.3166282494412
AFUB_009110-T	7310.544166785969	4228.538355942614	3912.8460207870085	5135.326010168737	3975.4602764024717	3676.6146745708434	4496.673868520248	5113.900087066675	6852.003378629797	8688.523032167252	4664.983706742053	4833.713034613422
AFUB_009120-T	2915.554305349919	4547.426062537459	5320.972136547938	3234.497846078718	4550.6105910059105	2680.042183639968	4147.305824093061	2362.416412710655	4009.6192784522277	1846.0728974645556	4312.270286796157	6655.497589612153
AFUB_009130-T	3625.2835248236706	3062.195648260095	3622.0825160576132	3053.0868728934092	3379.895675941195	2128.2382288075432	3098.241888491646	2397.691844433168	4067.6052026719435	2318.4824073614586	2737.0162841564334	3859.181776308574
AFUB_009140-T	1494.9851790479966	1692.2890073266203	1455.4790293882886	1394.4722609134442	1501.7813770200898	1371.716045911112	1521.2866769700306	1828.0973733843541	1694.4775633094844	1208.9326939148416	1228.5187762522323	1384.860209170047
AFUB_009150-T	3208.7757669165394	2441.893534061902	2190.6953199183317	2426.1225754562706	2264.210574928043	2588.5944472458937	2542.5163452956535	2907.110579014166	2740.3718260873284	4161.832483443323	2264.7389930424365	2158.9761697143463
AFUB_009160-T	158.8282916819194	137.16539708326246	178.6118671909144	238.2264977543339	170.4149080306485	196.40479748272736	204.43789412909558	277.0158902914998	237.31276393624591	683.4281670554623	191.30219386896076	207.06414650141994
AFUB_009170-T	840.7903272951958	1119.1648004054728	853.183198163112	961.8768633177081	1166.2770268347506	1213.760864866802	811.032960277398	942.0615295306434	746.300320975977	1079.598678237015	1157.7768191444395	1475.0945849390143
AFUB_009180-T	1686.0234040080675	2221.7299667690218	1833.4715855365027	1749.3200985726194	1939.3571564946196	2125.1206923395634	1935.9212791473512	2456.8300682032636	1969.3737966473982	2185.0641596095957	1858.2218310708947	2065.8922873421484
AFUB_009190-T	1563.8477950219756	1330.5917182026035	1599.1992760116755	1176.1810349377156	1222.194418532307	1487.0648952263643	1773.7146870918716	2041.8249891148746	1739.577726591486	970.6858229293717	961.4927973101413	884.2968825358805
AFUB_009199-T	1188.435469228348	680.5849957188628	554.9429175978178	873.1649039029143	669.2335450786925	1206.4866131081824	723.6909491706014	1155.7891452611639	722.6764259235	2131.9691426471195	760.2269475105055	507.2121753750378
AFUB_009200-T	1056.263674052485	456.0531036781083	372.1772860536263	496.38826728727315	635.50559453096	922.7907945220206	384.8807302618185	613.170004353095	354.35842578715454	1997.1894842039108	566.9320224554098	540.4564190793942
AFUB_009210-T	1332.82482530282	1294.7714552700318	1323.3893229540774	1176.1810349377156	1264.7981455399693	1162.8411025564653	1102.8128655132903	1100.8009722819522	1051.2633298352252	1150.3920341869834	1389.930002329168	1354.4654720689211
AFUB_009220-T	2461.2831773925413	3903.534994700743	4943.8103332703795	3040.1289462373156	3777.5304613460416	2097.0628641277453	3820.9730353423924	2100.9632128849703	4106.262485485088	1606.46461578774	2385.2992298036042	3472.59871380363
AFUB_009230-T	2692.3061471116966	2351.906044255685	1997.9606539262752	2602.5497306969282	2226.932313796339	2098.102042950405	2353.435288284237	2031.449862137665	2357.020438190316	2650.666616049771	2261.749896263234	2575.953969320417
AFUB_009240-T	1080.6987958497034	1257.2038624383101	1619.9680977780608	1207.0807061945538	1374.8577736430964	891.6154298422226	1290.9341202048524	946.2115803215272	899.8556388170773	714.7406129564098	1480.599271298311	1365.8634984818434
AFUB_009250-T	12859.538189463376	11737.688597539052	11154.518794290268	10615.532222107347	10003.00007034067	10655.739647554954	13442.031489567999	14222.224060359096	16668.805586345454	15938.034963582266	10963.010620521745	10874.667033462187
AFUB_009260-T	9250.914974955991	3903.534994700743	3033.9094836335785	4259.170815499033	3789.06897074395	5850.576771575424	3950.546348522805	5482.2170947576205	4227.603400981901	13134.890350101794	4091.077125135171	3713.856939543816
AFUB_009270-T	2076.9853527635614	2429.662224767853	2699.116076759446	3011.222802158338	2664.5080932708684	1882.992026659799	2018.4642786548734	1331.1287911760082	1913.5354992506345	2036.6703942529314	2891.4529510818966	3491.5954244918335
AFUB_009280-T	5888.864353129627	5487.489548280074	5453.892595852805	4701.733848984071	5251.796931340349	4109.952243620036	5743.457082011775	5868.171818309823	7818.435448958401	5038.580968669852	4457.739663384013	5194.650537689292
AFUB_009290-T	2268.023577723632	2304.728136978639	2172.4187567639124	2380.2714503654784	2044.0913187217889	1829.9939067041423	2334.2392418871386	1947.411333622266	2800.505377129997	2100.656696746172	1674.890561946474	2151.377485439065
