GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005840	7.293095784419977e-5	7.1139386928860615	1.4787168414558913	8	141	ribosome
GO:0043228	0.04251340308055608	2.200709534368071	4.824182603331277	9	460	non-membrane-bounded organelle
GO:0043232	0.04251340308055608	2.200709534368071	4.824182603331277	9	460	intracellular non-membrane-bounded organelle
