GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005576	1.8815488130049124e-6	14.475247524752476	1.4435533621221468	9	312	extracellular region
GO:0005618	0.0013788281058798753	16.914893617021278	0.2313386798272671	3	50	cell wall
GO:0030312	0.0015460482959857602	16.214285714285715	0.2405922270203578	3	52	external encapsulating structure
GO:0009277	0.012761026153642495	13.636752136752136	0.175817396668723	2	38	fungal-type cell wall
GO:0030287	0.018387498474748742	76.76190476190476	0.01850709438618137	1	4	cell wall-bounded periplasmic space
GO:0071944	0.021741163656955033	4.546215290985166	1.1243059839605183	4	243	cell periphery
GO:0032163	0.022934807777676425	57.55357142857143	0.02313386798272671	1	5	hyphal septin band
GO:0032158	0.022934807777676425	57.55357142857143	0.02313386798272671	1	5	septin band
GO:0042597	0.036459048962311	32.857142857142854	0.03701418877236274	1	8	periplasmic space
GO:0032156	0.04537792391101547	25.53968253968254	0.04626773596545342	1	10	septin cytoskeleton
