TRANSCRIPT	baseMean	log2FoldChange	lfcSE	pvalue	padj
AFUB_000010-T	355.08985515040706	-0.10592815796573064	0.2230563628726585	0.5587827931036202	0.7231083017087586
AFUB_000020-T	1179.600054316223	-0.8230036038951286	0.17945442704442202	1.221856283989516e-7	6.186418811613584e-6
AFUB_000030-T	204.42642632163552	-1.4343920104842336	0.32664512360398795	1.318716687563211e-7	6.386538547256614e-6
AFUB_000040-T	3469.633728444997	0.11705202557132367	0.1714781918497459	0.44274414254719274	0.6276173683591073
AFUB_000050-T	4140.428413886706	-1.491039925285513	0.15781355423540797	1.3160144833592672e-22	8.795363463784437e-20
AFUB_000060-T	2755.9549288322432	-1.6979217344141488	0.27403191705712143	1.1282293523153115e-11	1.6157856081372854e-9
AFUB_000070-T	30.81781939785185	-0.63929407791114	0.4309601377784407	0.011127811039192689	0.055833986820774124
AFUB_000080-T	48.61841497242166	0.04863281804335644	0.289883154200117	0.8068018878396492	0.8934263697771438
AFUB_000090-T	2.1119535886826437	-0.008037363453410615	0.4888622318122209	0.9498882088266314	0.9734420643502255
AFUB_000100-T	89.27314030178574	-0.23984135131131334	0.25640450844657453	0.2171759514651331	0.399484204300543
AFUB_000110-T	3921.537708724177	0.5867961117744758	0.21996150635031828	0.0010982750727750593	0.010295884072594455
AFUB_000120-T	150.75360900722205	0.2660608362534801	0.2649571981298813	0.17750027013456587	0.35327381538594854
AFUB_000130-T	9.700048195672833	0.17575699410096618	0.372521728665618	0.3828135828582722	0.5727660671299264
AFUB_000140-T	113.64702162697712	-0.3400183650981542	0.2512235218799195	0.078989731810234	0.2089923624696743
AFUB_000150-T	57.22901700711209	-0.30450868048969376	0.30000224202499187	0.140824982746598	0.30330586805894355
AFUB_000160-T	28.0863970741536	0.8026924856462501	0.42616312599788725	0.0023720884763917755	0.01796086629594226
AFUB_000170-T	7.616611310334841	0.3094918548557065	0.5077218203715995	0.11910698768643471	0.27155959780680194
AFUB_000180-T	15.224995048581542	-0.1363065205232702	0.4101869870214337	0.470717974112391	0.652689860370224
AFUB_000190-T	114.48987806711138	0.8500827786004269	0.4732219235806929	0.0023298389882935523	0.017674073738931474
AFUB_000200-T	34.654470739830145	0.29163500251341856	0.3295519048479772	0.16626203067803424	0.3396040867048275
AFUB_000210-T	19.349317470543962	-0.20648119600028997	0.34182430467651204	0.3160196643919254	0.508923352519514
AFUB_000220-T	14.701923545666947	-0.31479498938449896	0.3873261296246588	0.1438885541759208	0.3076312125428889
AFUB_000230-T	637.687496322923	-0.5187695005381382	0.3092749670414919	0.016424756599806523	0.0720707661215144
AFUB_000240-T	1016.3035214491653	-0.272722053517411	0.17665898313606976	0.07983335891423893	0.2105575961892253
AFUB_000250-T	29.998570286960497	-0.4437220382825797	0.32706523657481035	0.04191302058880385	0.13713382225938597
AFUB_000260-T	284.45984645846653	-0.4307477638697111	0.27911057425714375	0.03520111248877276	0.12278745744604971
AFUB_000270-T	2475.4514527456136	-0.6544894377861181	0.2746502437656714	0.0015228950307214137	0.013048737335882198
AFUB_000280-T	473.67311922450347	0.09337801434472741	0.21988467154382405	0.6034224766825321	0.7564474588898817
AFUB_000290-T	1973.1798937754681	0.6620386354219403	0.21963326951902623	2.2738018993934405e-4	0.0030393152055225654
