TRANSCRIPT	WT_Azole_1	WT_Azole_2	WT_Azole_3	WT_GMM_1	WT_GMM_2	WT_GMM_3
AFUB_049780-T	48.06036248609389	36.14308957724307	33.701795817174116	30.036725793207005	26.563606502707497	26.125825273725674
AFUB_049790-T	4.174120746681254	5.312731369693764	4.8023638221774245	5.436334486010122	4.699494570058285	5.208629722293409
AFUB_049800-T	21.7402122222982	25.73784368219518	21.852176208606153	12.358861133663298	14.528315530607012	7.854282914569426
AFUB_049810-T	0.8116345896324662	0.5505421108490947	1.3071522829595357	0.9386476810377189	0.5444536392140694	0.4685010861322114
AFUB_049820-T	4.232094645940716	3.3583068761794777	3.8646241409238455	4.6150177651021185	6.275544578309538	3.9684797884140264
AFUB_049830-T	0.23189559703784746	0.05505421108490947	0.17049812386428728	0	0.2578990922592961	0.1653533245172511
AFUB_049840-T	13.102101232638383	8.36824008490624	6.933590370481016	38.75832716284914	16.591508268681384	13.228265961380087
AFUB_049850-T	2.0290864740811654	1.8443160713444673	1.0514050971631048	1.642633441816008	2.1778145568562777	2.1495932187242643
AFUB_049860-T	6.956867911135424	9.689541150944066	8.809069732988176	3.9110320043238285	6.275544578309538	5.181070834873868
AFUB_049870-T	17.421156727468293	25.490099732313084	26.114629305213334	24.40483970698069	20.660582835439165	16.86603910075961
AFUB_049880-T	7.304711306692195	5.532948214033402	6.223181521046485	19.78982194187857	7.450418220824109	5.0708352851957
AFUB_049890-T	16.754456885984478	6.166071641509861	7.473501096051259	35.86416347964951	9.972098234026115	8.129871788764845
AFUB_049900-T	2.8407210637136315	2.6976563431605642	2.671137273873834	13.062846894441586	6.705376398741698	4.685010861322114
AFUB_049910-T	0.057973899259461864	0	0.11366541590952485	0.3128825603459063	0.31521000165025076	0.3858244238735859
AFUB_049920-T	14.145631419308696	9.579432728774249	11.593872422771534	10.325124491414908	7.3357964020422	6.55901520585096
AFUB_049930-T	5.391572631129954	4.1290658313682105	3.5236278931952705	0.8604270409512422	1.3754618253829123	2.6456531922760176
AFUB_049945-T	20.43579948896031	24.05869024410544	15.458496563695382	4.927900325448023	8.052182769429134	15.570771392041143
AFUB_049960-T	90.49725674401998	78.64494053479318	98.88891184128661	43.64711716825392	83.96048225774862	59.306725726854054
